#  Wavelength        (Rp/Rs)**2
#          um          unitless
     2.014654   1.453215703e-02
     2.014248   1.450788735e-02
     2.013842   1.454674166e-02
     2.013437   1.454156814e-02
     2.013031   1.452076087e-02
     2.012626   1.453313221e-02
     2.012221   1.451280435e-02
     2.011816   1.454622334e-02
     2.011412   1.456295263e-02
     2.011007   1.454788127e-02
     2.010603   1.454585539e-02
     2.010199   1.454243287e-02
     2.009795   1.457110767e-02
     2.009391   1.451595018e-02
     2.008987   1.457186049e-02
     2.008584   1.451826111e-02
     2.008180   1.455992863e-02
     2.007777   1.452028188e-02
     2.007374   1.453003457e-02
     2.006971   1.455568172e-02
     2.006568   1.450745029e-02
     2.006166   1.455378973e-02
     2.005764   1.455766457e-02
     2.005361   1.452235891e-02
     2.004959   1.457266217e-02
     2.004557   1.455144125e-02
     2.004156   1.453292955e-02
     2.003754   1.451911924e-02
     2.003353   1.452845355e-02
     2.002951   1.451939055e-02
     2.002550   1.454923663e-02
     2.002149   1.452889582e-02
     2.001748   1.452615489e-02
     2.001348   1.456189023e-02
     2.000947   1.450558426e-02
     2.000547   1.454653928e-02
     2.000147   1.452241492e-02
     1.999747   1.454781467e-02
     1.999347   1.451750595e-02
     1.998947   1.458579642e-02
     1.998548   1.456190185e-02
